,name,latitude,longitude,state,city
164,Domino's Pizza,36.0996688,-115.1014346,NV,Las Vegas
165,Domino's Pizza,51.1116742,-114.0558965,AB,Calgary
166,Pizza Pizza,45.513992,-73.682668,QC,Saint-Laurent
167,Pizza Hut,43.0967051,-89.498271,WI,Middleton
168,Pizza Hut,41.3121025,-81.8346574,OH,Strongsville
169,Domino's Pizza,33.537015,-111.907282,AZ,Scottsdale
170,Domino's Pizza,43.7048926,-79.2884998,ON,Toronto
171,Pizza Hut,43.7562204,-79.5180336,ON,Toronto
172,Papa Murphy's,36.0572545,-115.2784568,NV,Las Vegas
173,Boston Pizza,43.6441392146,-79.3885531386,ON,Toronto
174,Hungry Howie's Pizza,33.6528177,-112.3708835,AZ,Surprise
175,Little Caesars Pizza,36.1585364,-115.2020084,NV,Las Vegas
176,Pizza Hut,33.407151,-111.7744342,AZ,Mesa
177,Pizza Hut,40.437384,-79.787026,PA,Monroeville
178,Domino's Pizza,43.5695571,-79.5669729,ON,Mississauga
179,Pizza Hut,35.146999,-80.80925,NC,Charlotte
180,Little Caesars Pizza,33.4521399,-112.3597538,AZ,Goodyear
181,Papa John's Pizza,43.1008373163,-89.3489094618,WI,Madison
182,Papa John's Pizza,33.4503331,-112.3470489,AZ,Goodyear
183,Boston Pizza,43.6788377,-79.7201374,ON,Brampton
184,Pizza Hut,33.6702268,-112.1181065,AZ,Phoenix
185,Marco's Pizza,33.6086264004,-112.3605310171,AZ,Surprise
186,Pizza Pizza,43.841217,-79.303936,ON,Markham
187,Pizza Hut,45.4402245,-73.6216421,QC,Lasalle
188,Pizza Hut,51.1603304,-113.9597577,AB,Calgary
189,Pizza Hut,33.4145833,-111.628582,AZ,Mesa
190,Pizza Hut,43.8807827945,-79.3932664767,ON,Richmond Hill
191,Pizza Pizza,45.5202136553,-73.5974769773,QC,Montréal
192,Papa John's Pizza,40.1131849,-88.2837312,IL,Champaign
193,Hungry Howie's Pizza,41.4179509,-81.7563041,OH,Parma
194,Pizza Hut,34.9245482185,-80.7449110597,NC,Waxhaw
195,Pizza Hut,33.4662216,-111.912097,AZ,Scottsdale
196,Pizza Hut,42.917529,-89.372314,WI,Oregon
197,Domino's Pizza,36.1287148858,-115.093188715,NV,Las Vegas
198,Pizza Hut,33.6402101,-112.421825,AZ,Surprise
199,Pizza Hut,45.4910947,-73.648856,QC,Montréal
200,Pizza Hut,33.6706202,-112.2016265,AZ,Glendale
201,Pizza Hut,33.6092867,-111.7292103,AZ,Fountain Hills
202,Pizza Hut,35.1875233,-80.6874494,NC,Mint Hill
203,Pizza Nova,44.0184158,-79.4476687,ON,Aurora
204,Boston Pizza,51.048566,-113.82647,AB,Chestermere
205,Papa John's Pizza,33.3798264,-111.680185,AZ,Mesa
206,Pizza Hut,51.1547861,-114.1057621,AB,Calgary
207,Marco's Pizza,35.0120187,-80.8514743,SC,Indian Land
208,Pizza Pizza,43.6831351,-79.4199253,ON,Toronto
209,Pizza Pizza,45.5228886,-73.5519023,QC,Montréal
210,Papa Murphy's,35.0303097,-80.8535521,NC,Charlotte
211,Pizza Pizza,43.6760141,-79.3589764,ON,Toronto
212,Pizza Nova,43.779366,-79.364287,ON,Toronto
213,Little Caesars Pizza,43.1020421,-89.3446534,WI,Madison
214,Pizza Hut,43.707001,-79.268149,ON,Scarborough
215,Boston Pizza,51.0809533,-113.9963132,AB,Calgary
216,Pizza Hut,43.5858423,-79.6985308,ON,Mississauga
217,Domino's Pizza,43.6524735178,-79.374957718,ON,Toronto
218,Little Caesars Pizza,43.6656166,-79.484727,ON,York
219,Domino's Pizza,41.3649902,-81.6856414,OH,Parma
220,Domino's Pizza,33.4054083,-111.8750455,AZ,Mesa
221,Pizza Hut,41.5575249,-81.5511583,OH,Cleveland
222,Little Caesars Pizza,33.4663498,-111.9848827,AZ,Phoenix
223,Domino's Pizza,36.2982003,-115.2698157,NV,Las Vegas
224,Papa John's Pizza,36.2613789,-115.1553345,NV,Las Vegas
225,Pizza Hut,35.0054658,-80.5583195,NC,Monroe
226,Pizza Nova,43.6214629199,-79.7426165225,ON,Mississauga
227,Pizza Hut,33.464825,-112.152306,AZ,Phoenix
228,Pizza Hut,36.1000670645,-115.1382271573,NV,Las Vegas
229,Pizza Hut,35.0530905,-80.8471633,NC,Charlotte
230,Papa John's Pizza,43.072826,-89.394966,WI,Madison
231,Little Caesars Pizza,33.2319416609,-111.7212181533,AZ,Gilbert
232,Hungry Howie's Pizza,33.492897,-112.333147,AZ,Avondale
233,Papa John's Pizza,36.201019,-115.280644,NV,Las Vegas
234,Pizza Hut,41.4186021,-82.2077892,OH,Lorain
235,Pizza Hut,51.0457013148,-114.0573661958,AB,Calgary
236,Pizza Hut,35.2070881,-80.8351947,NC,Charlotte
237,Domino's Pizza,33.394052,-111.822347,AZ,Mesa
238,Pizza Hut,41.3200649248,-81.3480358225,OH,Aurora
239,Little Caesars Pizza,43.5916469,-79.5757803,ON,Mississauga
240,Papa John's Pizza,35.0529363,-80.7696899,NC,Charlotte
241,Domino's Pizza,43.7132519,-79.3670947,ON,Toronto
242,Pizza Hut,43.7445898,-79.6964151,ON,Brampton
243,Domino's Pizza,43.6554468,-79.365425,ON,Toronto
244,Little Caesars Pizza,35.2571166,-80.7787224,NC,Charlotte
245,Pizza Pizza,43.640257,-79.3817311,ON,Toronto
246,Pizza Nova,43.779639,-79.4152174,ON,North York
247,Papa John's Pizza,33.473213,-112.391764,AZ,Goodyear
248,Hungry Howie's Pizza,33.4808391,-111.9099763,AZ,Scottsdale
249,Pizza Pizza,43.6577514,-79.3817333,ON,Toronto
250,Boston Pizza,43.6888206,-79.5858219,ON,Etobicoke
251,Pizza Hut,33.4557268,-112.0728342,AZ,Phoenix
252,Pizza Hut,43.84245,-79.02799,ON,Ajax
253,Pizza Hut,40.4773799,-79.7875682,PA,Penn Hills
254,Papa John's Pizza,41.387005,-81.441554,OH,Solon
255,Pizza Pizza,43.669131,-79.335314,ON,Toronto
256,Little Caesars Pizza,33.5670515,-112.0733931,AZ,Phoenix
257,Little Caesars Pizza,36.1149933959,-115.0991731649,NV,Las Vegas
258,Papa Murphy's,33.3940352,-111.7542464,AZ,Mesa
259,Boston Pizza,51.1545495774,-114.067274343,AB,Calgary
260,Pizza Hut,36.130475168,-115.1093912609,NV,Las Vegas
261,Pizza Hut,43.714239,-79.5687289,ON,Etobicoke
262,Domino's Pizza,40.4134701,-79.8458021,PA,Pittsburgh
263,Domino's Pizza,33.4808122,-112.2028442,AZ,Phoenix
264,Pizza Hut,43.5757177468,-79.6554086787,ON,Mississauga
265,Pizza Pizza,43.7084148,-79.4758842,ON,Toronto
266,Little Caesars Pizza,35.2246841,-80.8938117,NC,Charlotte
267,Pizza Hut,35.2142,-80.782256,NC,Charlotte
268,Little Caesars Pizza,33.7132887,-112.1397613,AZ,Glendale
269,Pizza Hut,33.799076,-112.131283,AZ,Phoenix
270,Papa John's Pizza,36.1658726707,-115.0625643659,NV,Las Vegas
271,Pizza Hut,40.4563367,-80.0071993,PA,Pittsburgh
272,Domino's Pizza,41.31579,-81.652973,OH,Broadview Heights
273,Papa John's Pizza,40.4536377,-79.9469879,PA,Pittsburgh
274,Boston Pizza,45.56071,-73.745351,QC,Laval
275,Pizza Hut,33.4079719,-111.9104912,AZ,Tempe
276,Pizza Hut,33.480713,-112.0038326,AZ,Phoenix
277,Pizza Nova,43.8099849,-79.4594055,ON,Vaughan
278,Hungry Howie's Pizza,33.3771752,-112.045629,AZ,Phoenix
279,Domino's Pizza,33.6400807,-112.0101894,AZ,Phoenix
280,Pizza Nova,43.7071105,-79.7874934,ON,Brampton
281,Boston Pizza,51.0969303,-113.9561983,AB,Calgary
282,Papa John's Pizza,41.2448108,-81.3454824,OH,Streetsboro
283,Pizza Hut,41.5812796,-81.2166404,OH,Chardon
284,Pizza Pizza,43.7554125,-79.4391678,ON,North York
285,Papa Murphy's,33.6009748,-112.287967,AZ,Sun City
286,Little Caesars Pizza,33.3784758,-112.0286808,AZ,Phoenix
287,Pizza Hut,43.6676492705,-79.7334285376,ON,Brampton
288,Domino's Pizza,33.5105145,-111.9111238,AZ,Scottsdale
289,Domino's Pizza,41.1407614,-81.3564795,OH,Kent
290,Hungry Howie's Pizza,41.1394444,-81.508925,OH,Cuyahoga Falls
291,Pizza Nova,43.6665095828,-79.3164825439,ON,Toronto
292,Pizza Hut,43.0610545,-89.5121797,WI,Madison
293,Papa John's Pizza,33.6123128188,-111.9944543314,AZ,Phoenix
294,Marco's Pizza,36.014137,-115.15498,NV,Las Vegas
295,Little Caesars Pizza,33.4071933,-111.927283,AZ,Tempe
296,Papa John's Pizza,36.167218,-115.259651,NV,Las Vegas
297,Pizza Pizza,43.8694259,-79.3614299,ON,Markham
298,Boston Pizza,50.9874608354,-114.0454114165,AB,Calgary
299,Pizza Hut,43.8148423,-79.2923535,ON,Scarborough
300,Pizza Hut,36.0990357434,-115.1748771965,NV,Las Vegas
301,Pizza Hut,43.8206872,-79.3883096,ON,Thornhill
302,Little Caesars Pizza,33.3919982,-111.8238823,AZ,Mesa
303,Little Caesars Pizza,43.725695,-79.8155369,ON,Brampton
304,Little Caesars Pizza,36.1209019,-115.138783,NV,Las Vegas
305,Little Caesars Pizza,33.4954215852,-112.2357978434,AZ,Phoenix
306,Hungry Howie's Pizza,35.1408179,-80.7380644,NC,Charlotte
307,Domino's Pizza,51.0348223,-114.1914922,AB,Calgary
308,Pizza Pizza,43.6589038,-79.4393633,ON,Toronto
309,Pizza Hut,41.4797181,-81.8392665,OH,Rocky River
310,Little Caesars Pizza,33.3951,-111.754297,AZ,Mesa
311,Domino's Pizza,41.3938627,-82.0080591,OH,North Ridgeville
312,Papa John's Pizza,33.3576587,-112.4285876,AZ,Goodyear
313,Papa John's Pizza,33.6393162,-112.0653008,AZ,Phoenix
314,Little Caesars Pizza,45.4811736,-73.8420066,QC,Dollard-Des-Ormeaux
315,Little Caesars Pizza,41.1298246,-81.5087648,OH,Cuyahoga Falls
316,Papa Murphy's,35.4060152,-80.8650936,NC,Huntersville
317,Pizza Hut,33.2623743,-111.859793,AZ,Chandler
318,Pizza Nova,43.6647883,-79.3807374,ON,Toronto
319,Pizza Nova,43.7507415873,-79.4564428926,ON,Toronto
320,Little Caesars Pizza,33.3632376,-111.926903,AZ,Phoenix
321,Marco's Pizza,41.3217763,-81.8355909,OH,Strongsville
322,Marco's Pizza,41.4088952,-81.9765795,OH,North Ridgeville
323,Domino's Pizza,40.3040827569,-88.1591145667,IL,Rantoul
324,Domino's Pizza,43.4848765933,-79.7146423906,ON,Oakville
325,Papa John's Pizza,51.1482512,-114.072164,AB,Calgary
326,Papa John's Pizza,33.5013170365,-111.9844446455,AZ,Phoenix
327,Pizza Hut,41.5389777,-81.4961621,OH,Richmond Heights
328,Pizza Hut,33.489344,-111.927972,AZ,Scottsdale
329,Pizza Nova,43.6653215,-79.3871216,ON,Toronto
330,Little Caesars Pizza,36.1008769,-115.2445968,NV,Las Vegas
331,Papa John's Pizza,51.076287,-113.9900978,AB,Calgary
332,Pizza Hut,43.6573124,-79.3741798,ON,Toronto
333,Pizza Hut,41.3142574,-81.516831,OH,Macedonia
334,Marco's Pizza,35.3154399759,-80.6743008474,NC,Harrisburg
335,Pizza Hut,36.2190682,-115.2588929,NV,Las Vegas
336,Domino's Pizza,41.7157319,-81.2425123,OH,Painesville
337,Papa John's Pizza,33.639152,-112.063087,AZ,Phoenix
338,Domino's Pizza,43.8782876,-79.2381104,ON,Markham
339,Pizza Pizza,43.7457897,-79.4874779,ON,North York
340,Domino's Pizza,41.3659982,-81.8534081,OH,Berea
341,Pizza Pizza,43.7943558,-79.3298693,ON,Scarborough
342,Pizza Pizza,43.6711886,-79.3874048,ON,Toronto
343,Pizza Pizza,43.7161407,-79.6343324,ON,Malton
344,Papa John's Pizza,33.3223964,-111.8604916,AZ,Chandler
345,Hungry Howie's Pizza,33.416182504,-111.9222192529,AZ,Tempe
346,Pizza Hut,36.1452874912,-115.2950038782,NV,Las Vegas
347,Domino's Pizza,45.5780612,-73.6795914,QC,Laval
348,Papa John's Pizza,33.4329421387,-111.843711,AZ,Mesa
349,Little Caesars Pizza,33.4377294,-112.4101009,AZ,Goodyear
350,Pizza Pizza,43.8236508,-79.4256952,ON,Thornhill
351,Pizza Hut,41.1539224,-81.862325,OH,Medina
352,Little Caesars Pizza,43.6661412,-79.7375339,ON,Brampton
353,Pizza Nova,43.6450491,-79.7541452,ON,Brampton
354,Papa Murphy's,36.0551922,-115.2434261,NV,Las Vegas
355,Pizza Hut,41.461719,-81.485245,OH,Beachwood
356,Pizza Hut,41.4312287,-81.7341243,OH,Brooklyn
357,Papa Murphy's,35.2966598,-80.737783,NC,Charlotte
358,Pizza Hut,41.43349953,-81.7924176157,OH,Cleveland
359,Little Caesars Pizza,34.9619868,-81.00276,SC,Rock Hill
360,Papa Murphy's,42.9198807,-89.3773111,WI,Oregon
361,Little Caesars Pizza,50.983458,-114.014459,AB,Calgary
362,Papa John's Pizza,41.2382926637,-81.4493229585,OH,Hudson
363,Papa John's Pizza,33.797531,-111.976648,AZ,Cave Creek
364,Pizza Pizza,43.6494848,-79.3710947,ON,Toronto
365,Domino's Pizza,36.0340897,-115.2074639,NV,Las Vegas
366,Pizza Nova,43.7725166,-79.7029863,ON,Brampton
367,Pizza Hut,33.3938784,-111.8413481,AZ,Mesa
368,Pizza Nova,43.757861,-79.4097018,ON,North York
369,Boston Pizza,45.45398,-73.465045,QC,Brossard
370,Pizza Hut,51.073674,-114.16481,AB,Calgary
371,Papa Murphy's,36.1595573,-115.2451796,NV,Las Vegas
372,Pizza Hut,40.354929,-79.6516755,PA,Harrison City
373,Hungry Howie's Pizza,35.333478,-80.796171,NC,Charlotte
374,Little Caesars Pizza,51.2698363248,-113.9881324768,AB,Airdrie
375,Boston Pizza,43.6593968,-79.3818779,ON,Toronto
376,Marco's Pizza,43.015986,-89.499539,WI,Madison
377,Pizza Nova,43.7509678,-79.5428724,ON,Toronto
378,Boston Pizza,43.8624934341,-79.0160429373,ON,Ajax
379,Papa Murphy's,33.5250123168,-112.1311752603,AZ,Phoenix
380,Pizza Pizza,43.7684555,-79.2686172,ON,Scarborough
381,Pizza Hut,50.9621535,-114.0860011,AB,Calgary
382,Domino's Pizza,33.3925091,-112.0693643,AZ,Phoenix
383,Papa Murphy's,43.0843504,-89.2998225,WI,Madison
384,Little Caesars Pizza,43.7129523934,-79.7461077198,ON,Brampton
385,Papa John's Pizza,33.6520764,-112.2338377,AZ,Glendale
386,Boston Pizza,43.738687,-79.70276,ON,Brampton
387,Pizza Hut,43.8662182,-79.2881832,ON,Markham
388,Domino's Pizza,33.334695,-111.842345,AZ,Chandler
389,Papa Murphy's,33.6699779,-111.904461,AZ,Scottsdale
390,Pizza Hut,36.1971668974,-115.2242623327,NV,Las Vegas
391,Pizza Hut,35.4433339,-80.9963048,NC,Denver
392,Boston Pizza,51.1255264,-114.0726564,AB,Calgary
393,Domino's Pizza,43.5804908,-79.6138973,ON,Mississauga
394,Marco's Pizza,41.4396752,-81.7363316,OH,Cleveland
395,Pizza Hut,36.1941838,-115.025515,NV,Las Vegas
396,Boston Pizza,43.5516756,-79.7154919,ON,Mississauga
397,Pizza Hut,51.1384031,-114.1595793,AB,Calgary
398,Pizza Hut,35.4800817,-80.8911735,NC,Cornelius
399,Pizza Pizza,43.6563207,-79.3773755,ON,Toronto
400,Domino's Pizza,33.450757938,-112.4218724337,AZ,Goodyear
401,Pizza Hut,33.333887,-111.7549916,AZ,Gilbert
402,Little Caesars Pizza,43.6380507,-79.7173764,ON,Mississauga
403,Little Caesars Pizza,33.5082851714,-112.3558014259,AZ,Litchfield Park
404,Pizza Nova,43.8355856,-79.253969,ON,Toronto
405,Papa John's Pizza,35.2890019,-81.1879621,NC,Gastonia
406,Papa John's Pizza,35.2282399,-80.6977587,NC,Charlotte
407,Pizza Pizza,43.9707904,-79.2505903,ON,Stouffville
408,Pizza Hut,41.4834915,-81.7023837,OH,Cleveland
409,Pizza Pizza,43.4658322,-79.743164,ON,Oakville
410,Pizza Pizza,43.7562587,-79.5154267,ON,Toronto
411,Papa John's Pizza,36.0995506,-115.3027463,NV,Las Vegas
412,Little Caesars Pizza,41.4552726,-81.7867259,OH,Cleveland
413,Pizza Pizza,43.7975966,-79.4707915,ON,Thornhill
414,Little Caesars Pizza,33.3927901,-112.0972393,AZ,Phoenix
415,Pizza Hut,43.7573348,-79.234674,ON,Scarborough
416,Papa John's Pizza,35.1731371,-80.8764557,NC,Charlotte
417,Pizza Pizza,43.7624173,-79.4115237,ON,North York
418,Pizza Hut,41.6248667,-81.4385172,OH,Willoughby
419,Domino's Pizza,41.2379709,-81.825664,OH,Brunswick
420,Pizza Hut,43.0144898,-89.4274581,WI,Madison
