,user_id,name,average_stars,review_count,fans,yelping_since,fans,cool,funny,useful,compliment_cool,compliment_funny,compliment_plain
243,RFXdqe9P56RI1vW3BhHn6g,Ryann,4.25,121,9,2014-08-23 20:54:53,9,316,71,332,13,13,5
252,trUFnQXasV8l2iJSzZKXrg,Denise,3.78,547,545,2007-12-12 01:28:41,545,15246,14217,16666,4910,4910,2238
255,WG3w_73scm_JUWJ_3Lgn0Q,Jack,3.85,4534,1500,2011-06-29 22:41:05,1500,47149,27141,58513,3455,3455,5371
264,NrSURtBigpxbdfL4nGB-Jg,Missy,4.29,447,261,2010-03-13 22:09:57,261,1135,845,1653,167,167,857
265,6s-g2vFu12OemhiK3FJuOQ,Dave,3.79,2363,1010,2007-02-14 14:51:38,1010,17509,12720,21056,4936,4936,4988
266,QMqSgBqSrlRhz2B0UiORjw,Jessica,3.85,567,544,2007-03-25 06:56:16,544,8530,8069,9809,2094,2094,1192
275,fm2npkf_1BNUPRZQbvJA0Q,Erica,4.06,224,17,2011-02-20 23:39:10,17,214,75,384,19,19,29
286,M-xJMhi-HphpWaD2992K3A,Cameron,3.91,246,6,2013-03-03 02:00:22,6,110,80,380,6,6,3
290,wSByVbwME4MzgkJaFyfvNg,Bryant,4.15,828,415,2009-12-26 03:27:16,415,4532,3066,7878,605,605,1168
296,nmqX1cxPOYHwql5e4U9LuA,Michelle,3.95,964,548,2009-03-10 00:20:42,548,4110,3147,5250,350,350,354
309,XjP0bQouWTavuaGGv5ZQkg,Jen,3.77,35,5,2010-07-19 01:11:48,5,14,43,55,1,1,1
316,OberW6P_lUSrt1jbNpLHvw,Tim,3.67,349,17,2011-08-18 05:36:02,17,267,238,461,37,37,47
321,CY9iLsE2z_yLhLqJdD1WGw,Anthony,4.15,1359,405,2009-08-31 20:52:27,405,11902,10040,15283,2644,2644,2365
336,taqw380yqbQiANYsDyiJyg,Daniel,4.22,22,0,2013-03-28 00:49:46,0,3,3,26,0,0,1
360,dw12y9EXcrddiRg_9n3qSg,Nahal,3.55,391,41,2011-05-09 23:32:14,41,332,321,811,28,28,35
383,W-La-8pnqIYBk2eyfoA4Gw,Anna,3.72,376,29,2008-12-16 08:13:36,29,319,278,543,48,48,53
391,AQRqMBHwZd_hDBxnTshmKA,Tiffany,4.28,159,6,2011-03-01 12:29:09,6,149,79,188,2,2,3
392,7G8w2SnaC-qDVQ7_GqTxMg,Manish,4.07,109,3,2009-07-19 01:16:44,3,62,28,133,8,8,4
397,DpIhfFHCx2WhtSuTDDsGCw,Jason,3.92,36,1,2010-12-31 16:38:23,1,12,12,50,0,0,0
406,Z4a9QmzKt7dB4Ju59yQOMA,Jennifer,4.0,42,7,2011-11-30 18:41:03,7,50,27,114,2,2,8
409,oyXIV-9GRBBZrFydPCaR2w,Candace,3.92,1590,332,2010-01-25 05:15:36,332,9289,6739,11387,702,702,1101
413,OgbzBoW_qGftX3J-lwScrg,Riana,4.18,327,46,2010-02-15 21:53:28,46,902,893,1317,89,89,36
424,EWv-QUwo3hMfoM04sIXdUw,Beth,4.01,983,64,2009-12-07 14:40:34,64,796,387,2061,36,36,64
438,h36MJSbIj9NQQNxXVzZ9fw,Hillary,4.43,20,2,2014-04-09 03:18:28,2,4,4,12,0,0,0
447,rKOVduk_kQpoIiom5lbBAQ,Lindsay,4.49,130,12,2010-11-30 18:38:11,12,167,100,273,33,33,38
449,3KK7L2Q6NMfJA1Ky4Ntmdg,Ivy,3.38,1326,385,2008-08-31 00:37:21,385,6626,5629,10385,424,424,337
473,6QFyYvYgN1XcVfxMMMWxGw,Vinson,3.85,169,4,2011-06-23 18:24:01,4,112,49,247,6,6,13
475,N6llta3D8IVSPQ2k_rvWbA,JR,3.94,480,52,2010-08-02 22:40:07,52,721,676,1113,170,170,84
496,iChrn349gyWB-8UGyn8a6Q,Heather,3.71,416,217,2007-03-05 07:52:30,217,3078,2800,3641,650,650,396
501,Y5oH9VlzH0IfhCQ3SSESoQ,Les,3.74,1181,141,2008-07-24 17:46:17,141,3699,2962,4937,523,523,560
503,InDrrRvQ9f732YGPX4Ixmg,Brian,3.63,278,30,2007-03-01 02:57:26,30,359,271,775,27,27,23
506,0hAc_xJMHrZ79Is6rK_3aQ,Arlene,3.83,193,18,2008-09-07 18:26:13,18,121,63,231,11,11,10
513,g3HFkZgloxLQCvoJ5Zs5gg,Jana,3.94,3044,205,2009-08-03 14:55:03,205,10339,6263,12666,1463,1463,1025
532,o49wKoaSBe411Cxz23csvA,Kelly,4.5,8,1,2014-12-14 21:16:41,1,1,1,7,0,0,0
534,_g3wHkiWc90oNvd_7TZeiw,Connie,3.77,476,69,2011-07-13 20:44:01,69,363,235,950,29,29,40
537,G9Vb6yQ047TC3O_-GG4WZA,Connie,4.17,1540,1558,2005-10-05 21:46:41,1558,22616,15949,24513,4527,4527,4263
571,-d0o3YCu6Zu6hHpzNq4dUQ,Dan,4.33,218,11,2009-09-18 20:16:19,11,366,256,743,4,4,2
621,F3St4qtWbljWfhmb6Da_wg,Majes,4.61,379,35,2015-05-07 18:43:17,35,403,242,532,12,12,6
623,bwTeAl593lY6Fzo67Y874w,Ken,3.88,135,8,2009-04-22 17:23:59,8,38,13,95,1,1,6
625,Mu6wz7_d6OBgRqkl4_NaXw,Kathleen,3.63,1536,381,2005-07-20 20:47:26,381,3891,4474,5673,395,395,204
628,7RifB3srWSaKpLrtxJs-Iw,Garrett,4.2,5,0,2010-02-06 22:08:09,0,1,0,3,0,0,0
639,LEGudhGQU2sBvpyltEov1g,Christina,3.87,898,55,2008-05-09 16:14:13,55,856,500,1471,43,43,41
641,CtT0To4GaUdTJ7MhojlW4g,Jason,3.98,707,121,2008-09-03 01:46:53,121,2479,2367,3146,470,470,2481
648,DTFOGN81zlhrYENyvwQ79w,Angelica,4.08,175,65,2013-04-16 02:51:09,65,1062,578,1356,57,57,39
650,EwXTFlhKft8XR7rvLeLoYg,Jackie,3.97,685,90,2009-06-26 22:58:07,90,1115,654,1979,139,139,108
660,R4b9uTzOI-9d0ussqSqR5g,Peggy,3.58,604,72,2006-08-17 16:45:35,72,637,432,892,83,83,54
661,2-Qjlm7Xuzem7jywlJzsOw,Norberto,4.64,137,15,2013-06-14 03:06:18,15,156,24,174,2,2,4
668,BSBFGOqHzyTC5YmCr02AFA,Scratch,3.92,12,0,2013-10-16 22:13:46,0,4,6,14,0,0,0
673,Da_ZO8lKwIacljqKUJbAlw,Jill,4.24,1514,149,2005-09-22 20:21:30,149,1501,876,1816,227,227,123
683,EiwxlbR8fb68lMgEXhcWKA,Lorrie,3.82,3023,485,2008-11-07 23:53:03,485,9380,7042,13793,1262,1262,677
688,trAgaopRYs3-yNpSdnAvTg,Sidney,3.67,335,156,2011-02-18 23:59:02,156,2992,2589,3540,1026,1026,509
693,pQIADDOm1H1Yd04VDQfUbA,Cat,3.41,815,92,2007-09-11 10:05:59,92,871,825,1991,86,86,66
700,rVHSNa7tzfz4L0J4YqyjvQ,Akash,3.34,423,35,2008-06-22 03:44:52,35,770,813,1307,37,37,26
716,c_HdvOYbDHfcd5KtM6wY4w,Andrew,3.45,136,5,2007-11-12 18:00:36,5,75,130,153,2,2,5
720,jckP4KS3DFeOnsFx8PF5yg,Bells,3.91,312,114,2011-09-19 03:25:26,114,1065,805,1783,55,55,29
727,UzuJi4EJXv61IEaTebnoOA,Edward,3.24,16,1,2013-02-04 00:36:20,1,2,3,6,2,2,0
728,7o2ZPijGOxaUncf5FEkCRA,Laine,4.1,87,8,2009-06-02 04:44:34,8,66,27,105,18,18,6
731,9MlXWEHFygj13lofK5KC8A,Meghan,4.12,88,4,2010-03-05 22:20:47,4,32,19,65,2,2,1
741,bczUjT7jrfU7rzuuVsUsCw,John,2.94,29,2,2010-06-08 15:14:06,2,16,14,81,0,0,2
755,VdkAX9khigCjpMGuMNWYMQ,Karen,3.88,579,22,2011-04-16 03:54:13,22,244,87,506,3,3,6
767,OHVhLKw_uIE7saIt_S-udw,Mike,3.87,1550,209,2008-09-06 16:34:43,209,7884,6382,10034,919,919,1173
768,hPRxsxwK2pcscSv70t_KcA,Julie,3.96,302,60,2010-08-03 04:35:53,60,491,372,893,120,120,86
772,jUZW1alRK8QvdZ-pH1OquQ,Jill,4.11,321,88,2012-01-31 20:47:50,88,1256,935,1682,72,72,50
797,NeXRy1C7PxS7bvIcQ3SymA,Shannon,3.54,2700,289,2006-10-12 19:21:42,289,5574,4132,8744,506,506,312
800,g7Uoydq8ClIEmWPryCMUag,Meg,4.38,48,6,2010-07-30 19:02:03,6,26,10,57,3,3,5
810,XEfci56jGpDmnMr5FM9UKw,Lilian,3.95,60,0,2011-05-17 17:55:48,0,27,12,55,0,0,1
832,XxbZVX09lwA3J0yG6-JSZQ,Noah,4.44,16,5,2015-07-07 20:44:08,5,11,14,26,0,0,0
833,2MbKqqyCbh5VlwbsIYq5Cw,Christina,3.99,529,51,2008-10-19 22:13:41,51,692,665,1067,79,79,32
836,ncvgNeEsAIAuMWYFN2blhg,Tony,3.73,479,162,2011-02-21 22:21:48,162,7491,5299,8048,1275,1275,1204
842,NXUYqamg1hKTGfAwVrdgcQ,Karl,3.94,670,11,2011-03-26 06:41:38,11,234,118,567,14,14,22
866,djxnI8Ux8ZYQJhiOQkrRhA,Abby,4.12,2158,1443,2008-05-09 13:48:14,1443,18359,13152,24367,3591,3591,8962
877,wLh4YepDaBzQ1JMrj5fDzQ,Karen,4.06,912,138,2007-10-23 16:39:45,138,2649,2274,3548,509,509,319
890,OdcUDgb0-oDSMvHetOSX-w,Ron,3.89,28,12,2010-11-17 00:59:26,12,56,33,109,1,1,0
895,i_1vWPbw-x2XkJMrgmwwOg,Le,3.43,359,26,2009-02-25 06:19:24,26,204,110,643,28,28,30
896,5bT16QvBp6t33vIfqtJahg,Shae,3.69,175,22,2010-12-23 18:18:37,22,138,65,360,10,10,18
920,3FjdHwnoz-vfw6hBBtckqg,Maria,4.15,445,31,2008-03-26 18:35:10,31,377,193,718,34,34,15
925,ALRot_rgv3j0Y_hbuAa5yw,Gina,3.68,453,51,2007-04-29 01:03:52,51,442,311,935,45,45,35
933,0EigY2IT-Boxz4tFj-P1Zg,Courtney,3.98,97,2,2015-10-11 15:40:47,2,27,12,48,1,1,1
947,r3ov7FgibBx41_W74I1KiA,Pauly,3.48,257,119,2010-04-15 21:45:51,119,1490,1038,1946,567,567,557
948,-N0IdkXltVc6Ks9wx3d3GA,Michelle,3.36,13,0,2015-09-23 23:59:28,0,2,0,18,0,0,0
956,TPBznx2-LOjYvn1-cwK-Yw,Robin,4.36,144,11,2015-12-22 21:08:51,11,37,31,93,0,0,2
964,Bt5icFzn8PFE10Nqq04LhA,Aristo,2.86,157,3,2007-08-13 01:38:48,3,48,89,251,6,6,8
966,5w-AqylutSGAF01sKm_wZA,Diego G.,3.51,69,1,2011-05-04 20:01:16,1,33,45,96,0,0,4
976,7XtjpwvWhYd08c6qF-YyAA,Carla,4.47,101,6,2014-08-08 18:58:58,6,44,10,68,1,1,2
977,QD4V4KfC7QfNIrvce0fHhA,Amy,3.97,265,31,2009-12-18 03:25:30,31,174,136,441,16,16,9
983,NvUeb5G_mSSxgKhEE_Hueg,Jocy,4.18,1297,251,2008-03-10 19:58:50,251,7926,4960,9088,1456,1456,1272
990,6rRXB2efcs8gAeNF-lYfOg,Chelsea,4.0,17,0,2012-02-17 02:23:14,0,7,16,45,1,1,1
999,0QeJC2inz6P-OVzROU_LNw,Tram,3.98,2467,424,2009-03-10 13:55:45,424,18667,15521,19997,2957,2957,1353
1012,8a0GHVSVs3rSRtNIIR4rlw,Denise,4.05,319,13,2010-07-24 05:50:34,13,101,49,284,15,15,9
1014,5eOKpOYoo8TlofXJIWdn3Q,Katie,4.0,10,0,2016-11-27 17:09:33,0,0,0,1,0,0,0
1068,BxVHEVr1sIm2tmMXl8DnSA,Rhette,4.3,20,3,2011-08-17 05:02:08,3,8,4,15,0,0,0
1077,UxJoHsSFqc3TcM6UkIPmeA,Patrick,3.83,324,37,2007-03-23 21:02:24,37,817,1029,936,118,118,87
1082,4RUXeyp_Af2C5t9JFyJlBQ,Nina,3.71,1292,107,2010-07-29 05:42:22,107,3073,2584,4424,155,155,148
1087,hoM1RR6e-MyiU1-PWzfNtQ,Joseph,3.77,115,3,2008-08-30 15:26:36,3,62,44,128,2,2,1
1090,obvm_4RP60RCWIllaFN4yQ,Miguel,3.54,436,20,2008-07-04 07:48:54,20,428,233,697,22,22,13
1099,P43hfWf5E9eFB4eof2Z2tw,Angie,4.47,27,5,2010-10-12 14:58:49,5,9,1,27,0,0,0
1112,JT7CRUK3h-K-zWtvUThY8w,Kara,3.8,79,15,2012-07-24 06:55:38,15,36,69,122,0,0,3
1115,qpJvFXThQKW3bxicP9KSXw,Jennifer,4.04,97,34,2012-04-15 23:57:20,34,238,172,332,13,13,7
1124,3cBVCNsm273EJ_GM4FVvJg,Humberto,3.89,74,2,2011-03-24 22:17:37,2,45,25,77,1,1,2
1156,tp77HGAm4JVX3BL50v7Ajg,Frances,4.12,86,15,2011-04-14 08:08:24,15,97,64,194,8,8,3
1174,kOvtM-OpoF4-fVopo6m5Lw,Anthony,4.6,5,0,2015-12-20 20:30:29,0,0,0,2,0,0,0
1180,pN6pzJR6mK7549M0azoaxg,Christina,4.06,269,32,2007-05-15 19:34:32,32,706,413,994,192,192,189
1181,R43vtQ150xrgGfKiNnZ0SQ,Alice,3.67,133,6,2010-09-04 03:15:22,6,66,78,191,3,3,4
1190,5Nw0aCrXmFlrpoWBCAJ-ig,Grace,3.61,217,55,2008-07-08 02:32:12,55,273,250,520,25,25,29
1194,LOi1qbpl2hTP0cwSDDuyBQ,Shirley,3.69,1381,52,2010-03-20 20:58:04,52,738,488,1824,91,91,85
1203,0l_0KpelMBhHzflxt8PkqA,Daryl,3.61,289,10,2007-08-08 02:16:14,10,288,351,438,36,36,24
1207,62F28369AY13NOZxUA5tfA,Theo,4.06,379,37,2010-01-10 21:45:45,37,519,412,1006,37,37,17
1209,EvXwnFVVYVWPMIT-7AyKZg,Lindsay,3.73,547,27,2007-11-09 22:16:42,27,1335,1188,1915,198,198,171
1231,2pN7H-6Sa38MGVRoDPAlyQ,Chad,2.98,72,0,2015-08-10 23:35:24,0,14,25,55,0,0,3
1259,43zyz08tPXuHkhxMavXG0A,Lauren,4.22,164,16,2011-12-23 22:50:19,16,249,165,464,34,34,10
1282,MhbjMiuR74hpqgrjdlZmoQ,Josh,4.04,166,30,2008-07-26 18:23:55,30,200,183,404,17,17,22
1300,hizGc5W1tBHPghM5YKCAtg,Katie,4.19,1448,2964,2009-05-22 20:19:55,2964,31252,26881,37796,7268,7268,14888
1302,TviI9ML9TJmA0BBRclweeQ,Nathasja,4.0,629,58,2011-08-27 01:16:59,58,859,719,1653,112,112,79
1309,YWWDhFvemd93HKof8D-QoA,Michael,3.63,567,113,2009-11-14 18:43:57,113,3781,3104,4533,1144,1144,976
1319,4eR6hYFJcBHoAqhuOS07ww,Diana,3.68,864,217,2008-05-15 20:01:56,217,2075,1754,3069,253,253,166
1333,VspYKWl6zVM4zQL9DWLqxA,Clay,3.88,349,12,2012-09-04 20:55:15,12,764,325,883,64,64,28
1338,9HGR8sU_zm15sI109H-SGQ,Trish,4.14,870,782,2010-09-27 16:16:44,782,9969,7139,11867,1534,1534,3383
1339,rMNMIdJlgnybYSHdmxmbtQ,Eddie,4.08,462,49,2009-06-06 14:07:31,49,1622,987,2399,219,219,116
1344,P4Df9eB4HAiMXn3Oz8VYUA,serina,3.79,728,177,2009-05-01 04:39:34,177,1313,812,1995,91,91,77
1358,PPATTeh_UZNz2EtTzRodYw,John,3.77,164,5,2011-02-15 04:12:54,5,75,45,229,6,6,4
1367,Xsuv6bKcPUVDWih0DtEBbA,Liz,3.96,454,20,2010-05-16 16:25:16,20,1361,1118,1624,219,219,209
1372,V0L67wncRQuTPufrvlwP_A,Melissa,3.9,395,174,2011-11-09 21:11:32,174,4305,3353,5041,945,945,279
1395,e8Sb6rtowM5eMywEpPYh8A,Gena,4.35,41,6,2011-05-11 04:15:15,6,3,2,24,0,0,1
1401,lg5f5JPxo6AjHz-EvW1hVQ,Terry,4.29,110,8,2009-09-30 02:15:07,8,65,36,170,9,9,4
1412,TmmOaOWhPlwLHds1RjNn7g,Irena,3.43,143,9,2011-06-10 05:17:43,9,89,160,181,7,7,19
1430,yto6NRayrXZRJ4zo_dSHmA,Kimberly,3.26,344,9,2012-01-17 23:27:05,9,223,267,592,6,6,12
1442,CQUDh80m48xnzUkx-X5NAw,David,3.88,4027,547,2008-12-29 21:03:01,547,14142,8669,20314,1561,1561,1522
1448,WR1fZqarWeDgtyVxOgBt_A,Teresa,3.75,208,55,2012-04-12 23:01:12,55,529,311,791,42,42,23
1453,B8QP74nHZ77tejjHE7ov6Q,Paul,3.06,127,0,2011-08-15 02:14:13,0,16,33,111,1,1,3
1464,UItOra5wMk1BcK_RvDnp7A,Angie,3.6,77,3,2010-04-06 00:56:38,3,64,66,161,15,15,13
1471,a4zLPoSGr4Jw1EtZUbQQHA,Albert,3.24,482,50,2007-12-12 18:04:57,50,367,250,880,66,66,69
1474,Gap65780O9PI3Ui7Zj6Avw,Holly,3.57,103,43,2009-03-16 19:51:55,43,304,206,564,123,123,67
1482,RA0pYQqg9dmG1YR_uO8JWQ,Sara,4.02,370,75,2009-01-21 05:45:05,75,842,604,1373,182,182,88
1484,dIIKEfOgo0KqUfGQvGikPg,Gabi,4.06,1932,894,2007-08-10 19:01:51,894,15349,8792,18380,2138,2138,3254
1510,F_5_UNX-wrAFCXuAkBZRDw,Rodney,4.09,1230,539,2008-11-17 06:15:22,539,12292,8484,14356,2873,2873,3047
1524,XqmISkEvoUQ0ECK-qFQ1Kw,Sophia,3.83,217,33,2006-10-12 06:30:03,33,225,162,381,24,24,33
1566,bWJWcQyDKtFSvsTW2tR3hw,Nicholas,3.67,228,9,2013-09-26 20:21:14,9,243,226,413,10,10,9
1574,KDz7BjsuBjAxBw2gF3KFQA,Salma,4.21,154,38,2011-12-27 05:37:03,38,474,88,502,20,20,21
1575,cdB_dIYHieklXNyvmrXweA,Adrian,4.26,73,1,2014-12-06 07:23:19,1,19,13,47,2,2,3
1588,MGrNMMePj0kw-6LIL1SflQ,Clara,3.62,1238,230,2009-11-25 23:48:00,230,2863,2613,3983,122,122,171
1591,Q6XWRxT2CeCkovLcoBKlWQ,Louis,3.48,530,63,2013-07-17 02:40:11,63,371,340,737,11,11,20
1594,p5nLjLUiVLMVVBRryzg28Q,Tessa,4.35,48,5,2013-02-16 21:21:13,5,20,16,25,1,1,0
1595,L-M5ay60ZRYDlSa3eg0cfA,Jacque,3.17,10,0,2017-05-13 05:06:53,0,0,2,3,0,0,0
1599,KBSFwLHntHwf0e28a94ckg,Rich,4.03,210,60,2010-05-17 04:06:38,60,148,97,492,7,7,6
1604,ZhATZtcAivCoCVCup3VSeQ,Rebecca,3.84,524,70,2008-11-20 22:13:59,70,676,324,1287,107,107,87
1609,4uJXindoZlYPawRRJp4LZQ,Alan,4.11,127,88,2012-11-07 04:18:30,88,516,315,642,98,98,76
1618,diHknuTxYTTUkKQz0VhCgA,Tara,3.92,85,5,2013-04-04 20:39:39,5,25,10,55,0,0,2
1627,sBgR7lRY09Ddmv2I7e9hqA,Doug,3.42,887,118,2015-10-04 20:21:51,118,3220,2695,4688,169,169,171
1630,f8MAiYY030VzJZoZdp5Plg,AJ,4.0,28,2,2012-07-09 04:22:39,2,5,7,14,0,0,0
1644,MW87Rf5Peg1oaKLPJiAzhg,Leah,4.2,5,2,2015-06-21 03:34:38,2,7,4,12,5,5,10
1658,fM_UsuFAYu2TVUqJiYAKsg,Lori,3.96,1119,149,2009-08-11 17:28:26,149,3029,1472,5497,238,238,550
1660,Hzx8IxcZYBU-8jjXbhfq0g,Monal,3.52,27,0,2012-04-08 21:44:07,0,4,3,37,0,0,0
1661,U7NLhaVfOJrHb9XLsZbJnQ,Paul,4.15,465,64,2010-11-06 08:35:33,64,1272,883,1974,219,219,172
1662,EDBTE8HMO-iN5hAi9B382A,Cindy,3.93,2022,434,2009-07-02 15:46:17,434,10566,7397,12966,1188,1188,1056
1666,tvxnED4V4RF7aqYjQcXWlQ,Steve,4.19,16,1,2014-11-16 01:40:06,1,2,2,4,0,0,0
1696,KvcL6dePBaMwa5ocq7eX2g,Mike,4.71,54,1,2012-05-05 20:42:09,1,11,9,21,0,0,2
1700,FNN2v38cAZucLMxMmN83JQ,Connie,3.94,232,17,2012-12-15 07:33:45,17,98,74,282,20,20,7
1701,iAevEfcmtCr2cpd6IRqnTA,Holly,4.05,753,55,2008-05-11 02:16:54,55,1189,870,1968,263,263,300
1707,d8z9uG3SHTgkCNj5iVcG8w,Laura,3.76,734,91,2008-07-28 23:07:24,91,2343,1803,3132,184,184,89
1714,eXb64jE75fF7Pgz-Gm3ntQ,Jennifer,4.14,708,50,2010-02-03 03:07:18,50,1433,581,2196,33,33,38
1722,bt3wOC87pZFLiuVAaMC2Rg,Paige,3.94,63,5,2014-02-23 22:25:28,5,26,10,72,1,1,3
1732,0uZaPE0i7T74pZ-w5Je3zg,Tara,3.96,24,2,2013-01-02 04:48:23,2,3,5,43,1,1,0
1739,Zj5ql4z8nWnhdiQr8O3saA,Brett,3.77,45,3,2010-03-17 06:05:21,3,23,25,75,2,2,0
1743,4vyIItbdZ80s0HVlGhAJdg,Will,3.43,125,3,2009-06-15 17:18:11,3,115,115,319,14,14,6
1744,VqYW9ki5iqx9VXhxdNa0Jw,Corrine,4.75,4,1,2011-09-08 19:47:42,1,0,0,4,0,0,0
1746,bBz_K-u-nGeu_A6_NUw3ZQ,Darling,4.38,8,1,2016-07-03 03:04:40,1,1,1,1,0,0,2
1750,FsQStXUCmW75FYzF3jzkFw,Mercy,3.95,415,68,2008-08-28 19:13:05,68,827,654,1472,97,97,81
1754,IlI8DOtiapdFGpAtIRr1oQ,Ellen,4.13,16,0,2015-02-08 19:44:27,0,1,3,10,0,0,0
1761,ACUVZ4SiN0gni7dzVDm9EQ,Tiffany,4.1,2080,789,2007-03-15 21:51:21,789,18854,11920,21165,2905,2905,4450
1769,zDbKdQpubkyJMKpwlESgWQ,Chazmine,4.89,36,4,2012-12-18 16:44:37,4,10,5,16,1,1,2
1772,IDVFG1pNSHIHoVuoLuZpcQ,Andy,3.86,1456,1065,2008-01-02 01:21:36,1065,9566,5775,11514,913,913,539
1782,NmJdxBB81JduuoalTUjqNQ,Jann,3.92,119,8,2012-11-06 03:14:54,8,59,52,152,1,1,4
1783,ww46OY2FRCkD57H4ATYrFg,Lily,3.19,67,2,2008-04-02 05:08:05,2,28,35,69,5,5,2
1793,VUhZCfChpTSiO8TkmSn18g,Judy,4.0,430,140,2009-05-15 00:00:17,140,1233,912,1869,99,99,61
1802,d4iRRJUcK135rjax3DJoSw,Ross,3.3,547,23,2009-05-30 01:34:58,23,217,732,946,29,29,45
1804,06g5pqdYhsLIc43_1mMYGQ,Diana,4.02,721,59,2010-11-05 06:06:07,59,915,796,1358,67,67,50
1807,HUX1p0y71x_j-5VWz4tB0w,Amanda,4.21,126,61,2012-09-29 17:20:53,61,652,385,898,80,80,37
1811,7qO5K6xaAalfEKCtmcQX7A,Robin,4.34,296,16,2007-06-19 19:45:47,16,623,150,983,138,138,179
1855,YXMiSBrLNcnbxnfMK4BVug,Scott,3.71,784,89,2006-08-09 02:30:21,89,1643,1283,2241,164,164,84
1881,KQm9OgdujLZiMRTksmj83w,Melanie,3.86,303,34,2009-11-08 00:40:44,34,534,507,951,46,46,26
1913,EE32bpeFFBwQZIc4meabgw,Richard,3.97,475,23,2011-06-27 22:17:28,23,510,383,892,78,78,100
