"","X","user_id","name","average_stars","review_count","fans","yelping_since","fans.1","cool","funny","useful","compliment_cool","compliment_funny","compliment_plain","weight","weight"
"11",199,"NJqmAzerpbAIC0-VBclwgA","Kim",3.98,400,54,"2011-01-06 19:09:05",54,508,349,941,88,88,79,0.0651492033677248,0.0651492033677248
"12",204,"pUQdU4MlkB46jIdYs9oMUA","Allison",4.1,243,32,"2012-09-16 17:53:32",32,544,346,890,109,109,48,0.0454124174714939,0.0454124174714939
"13",230,"pDfc2RILCn6ZwZjyUAeD4w","Ricky",2.43,60,40,"2011-07-18 15:49:09",40,362,388,735,70,70,205,0.0328670294025228,0.0328670294025228
"14",279,"RgJ_nkjVYUKzCr47qJgSSw","Ambica",3.59,54,1,"2013-11-25 03:34:27",1,9,1,11,2,2,0,0.00521596966581123,0.00521596966581123
"15",286,"M-xJMhi-HphpWaD2992K3A","Cameron",3.91,246,6,"2013-03-03 02:00:22",6,110,80,380,6,6,3,0.0274206417683084,0.0274206417683084
"16",295,"wVVH8vsOOhdJ-5nigb77xg","Brian",3.62,19,4,"2012-09-24 02:21:48",4,11,11,57,1,1,1,0.00306722765139557,0.00306722765139557
"17",308,"_zPT9ZmR5-nUfsprzIiRew","Lisa",4.29,532,24,"2013-06-14 18:42:18",24,504,178,777,45,45,37,0.0640501870022628,0.0640501870022628
"18",333,"tWVlSt-66fl6bk9_5UzltQ","Jennifer",4.35,302,29,"2012-05-11 17:16:04",29,361,709,840,32,32,48,0.0569945459715261,0.0569945459715261
"19",354,"UG4EKu13JRwzRix6ESINdg","Edward",3.61,1083,53,"2009-06-05 16:32:55",53,1315,1013,2365,93,93,117,0.151623003147496,0.151623003147496
"20",377,"uwRd0buZlfjPWbmNK7kGhQ","Antonio",3.62,167,1,"2013-05-30 19:23:55",1,11,9,46,0,0,2,0.0158915240043542,0.0158915240043542
"21",386,"VM-pBrNPfZm-5YWcMCVbqw","Farisa",4.08,153,90,"2011-07-05 22:51:47",90,656,454,835,90,90,91,0.0537978926396063,0.0537978926396063
"22",406,"Z4a9QmzKt7dB4Ju59yQOMA","Jennifer",4,42,7,"2011-11-30 18:41:03",7,50,27,114,2,2,8,0.00670663742054003,0.00670663742054003
"23",414,"FTZyZbr1eF7s3Ss7uSLcXQ","Chuck",3.96,396,15,"2011-06-21 23:35:35",15,436,237,699,17,17,36,0.0499982517281633,0.0499982517281633
"24",417,"5cLYXhfmVqh48jaEbqFCdw","Greg",3.64,85,9,"2009-02-09 16:08:07",9,102,117,221,12,12,18,0.0142115241363955,0.0142115241363955
"25",424,"EWv-QUwo3hMfoM04sIXdUw","Beth",4.01,983,64,"2009-12-07 14:40:34",64,796,387,2061,36,36,64,0.124584461145517,0.124584461145517
"26",451,"EXKDLuYoZUKUNNNYA7TlGQ","Gene",3.64,559,129,"2013-05-27 19:21:44",129,5168,2961,6081,323,323,325,0.201106878214899,0.201106878214899
"27",455,"_rhYsgWA03_D88d3xEGFvw","Angela",4.05,461,106,"2008-01-28 06:09:34",106,3048,2574,3709,932,932,750,0.183721228417223,0.183721228417223
"28",495,"RHhvvRSsj85q8MhQbG-DkA","Kyle",3.54,39,3,"2009-09-21 04:30:13",3,17,10,31,4,4,2,0.00467826533235533,0.00467826533235533
"29",497,"vBs9C8XnE8Py8yji7EF3nQ","Mark",3.49,90,0,"2012-12-08 00:01:57",0,12,37,90,0,0,3,0.00943604872046773,0.00943604872046773
"30",523,"sjZXC0BU-y7CptycmdZnzg","Darrell",4.4,5,0,"2011-06-17 18:15:44",0,0,1,2,0,0,1,0.000417618776028985,0.000417618776028985
"31",524,"ELfzWgdf64VBLi5z1ECItw","Nicole",3.66,388,36,"2011-05-05 17:40:20",36,801,629,1636,156,156,154,0.0725967137945627,0.0725967137945627
"32",526,"KLgBbAHOWumaXjEQwUDpmA","Sasha",4,21,0,"2015-12-13 22:05:34",0,3,4,9,0,0,0,0.00197014044295021,0.00197014044295021
"33",527,"3iaQRn8gPiuarpYmv9dOJA","Randall",3.93,56,3,"2013-06-21 12:17:16",3,8,10,20,0,0,0,0.00606265379244738,0.00606265379244738
"34",535,"xywXoLnG7qWIayFu8oZQgQ","Lori",3.98,1122,88,"2014-08-21 01:55:48",88,6988,4046,8596,225,225,176,0.278629998140884,0.278629998140884
"35",536,"5ylIKMA-zoXZvH_-X26YOg","Chris",3.92,248,297,"2013-04-13 19:34:26",297,5635,3635,6422,1068,1068,619,0.250195402449159,0.250195402449159
"36",563,"bz3Reh0S84qJjAAB_hpl3A","Cindy",3.46,114,14,"2012-10-15 17:39:55",14,54,15,92,1,1,9,0.0145665422268398,0.0145665422268398
"37",573,"NPZ113YIXy-nl0aQ6wOvww","Debi",4.21,57,0,"2013-08-19 18:18:11",0,40,9,50,4,4,6,0.00583197997949477,0.00583197997949477
"38",584,"hWDybu_KvYLSdEFzGrniTw","Bruce",3.61,10022,528,"2009-03-08 21:47:44",528,61383,49785,74829,2502,2502,2749,2.79580316001318,2.79580316001318
"39",618,"30bwgVuf6vX2za6yf1l0rg","Jennifer",2.44,16,1,"2013-02-28 07:49:46",1,4,2,40,0,0,1,0.00179543417456988,0.00179543417456988
"40",627,"nnaqt0CgxE1nbvs9mcLrug","Leteecia",3.2,29,3,"2011-11-12 18:12:08",3,18,24,75,0,0,1,0.00413519199782634,0.00413519199782634
"41",636,"hzKQOJI8-7TM-BstJpSVCA","Amanda",3.58,1571,201,"2009-09-26 23:14:00",201,7267,4273,9572,378,378,317,0.360551825664882,0.360551825664882
"42",674,"GamSKK0ERfkLlhkSnJc7SQ","Megan",3.56,35,1,"2011-04-09 03:53:53",1,31,11,52,0,0,2,0.00390861170099799,0.00390861170099799
"43",689,"pn_flI3EBNugBEYFp9okxQ","Colanie",3.74,536,140,"2012-10-27 01:42:49",140,8966,5887,10108,2278,2278,1581,0.360617147869054,0.360617147869054
"44",691,"tm_8tvK32ou14r-sWcsNwg","Shelly",2.24,13,0,"2015-03-26 18:07:10",0,5,6,19,1,1,0,0.00133825524948434,0.00133825524948434
"45",711,"nyl_1VcRIAyI55bb_scpdw","Mary",3.85,965,34,"2014-08-24 02:43:26",34,1603,795,2009,132,132,40,0.130238838552231,0.130238838552231
"46",733,"jlDlYRSV7zeIpQn9aiXOKg","Robert",4.35,62,3,"2014-04-22 06:48:57",3,85,70,90,6,6,7,0.00881631621048066,0.00881631621048066
"47",734,"rrRZ2TubdRzkAksCwzHtvA","Danielle",3.1,698,80,"2008-01-31 18:46:00",80,832,799,1692,105,105,130,0.114127707208061,0.114127707208061
"48",772,"jUZW1alRK8QvdZ-pH1OquQ","Jill",4.11,321,88,"2012-01-31 20:47:50",88,1256,935,1682,72,72,50,0.0839242345271023,0.0839242345271023
"49",848,"cZ16H_Fc3s2-2AYrs-LEJg","Tiana",3.4,577,73,"2007-07-06 17:33:40",73,790,665,1781,94,94,84,0.097040646768992,0.097040646768992
"50",849,"aAOx-FvLpDvA8uJsts3ERQ","Nick",3.45,38,2,"2011-12-06 23:58:40",2,9,9,37,3,3,0,0.00426333867974612,0.00426333867974612
"51",853,"XT2PFiGrgNwB5ZmgbJlelw","Jennifer",3.72,163,12,"2008-01-18 16:46:33",12,532,405,733,70,70,30,0.0334248314819573,0.0334248314819573
"52",854,"MFGDwMQJijNc0mHv1s_BUQ","Maci",3.92,178,22,"2010-01-14 17:25:11",22,202,143,521,19,19,8,0.0274342021283822,0.0274342021283822
"53",907,"Q9mA60HnY87C1TW5kjAZ6Q","Evelyn",4.09,1274,478,"2010-08-29 01:34:42",478,6764,4716,7862,745,745,2262,0.447217042359102,0.447217042359102
"54",916,"sYQyXDjGaJj7wfaqz5u8KQ","Georgia",3.98,708,56,"2007-01-06 22:04:23",56,1316,1032,1909,41,41,36,0.114526353151259,0.114526353151259
"55",926,"hfBr9kOgp3cAhppZRBaReQ","Travis",3.96,68,3,"2014-10-21 17:07:23",3,20,15,65,1,1,4,0.0075497842336692,0.0075497842336692
"56",929,"XbWP6vAli3waJ0iR_lcjOg","Nathan",3.58,97,6,"2016-04-05 14:17:55",6,77,26,164,4,4,2,0.0116457872378033,0.0116457872378033
"57",974,"P9yweXls2Pg-EMipYr45XA","Tom",4.1,151,20,"2012-10-01 20:08:41",20,282,197,400,134,134,139,0.0306116254862279,0.0306116254862279
"58",976,"7XtjpwvWhYd08c6qF-YyAA","Carla",4.47,101,6,"2014-08-08 18:58:58",6,44,10,68,1,1,2,0.0111871115441624,0.0111871115441624
"59",1024,"Fv0e9RIV9jw5TX3ctA1WbA","Christie",3.81,858,309,"2012-06-17 15:47:08",309,24513,18006,27129,6642,6642,4362,0.968543763300787,0.968543763300787
"60",1031,"QCtHk02W_Asu2LFfdmGQDA","Chris",3.69,419,62,"2007-04-12 21:08:48",62,1389,1151,2134,157,157,87,0.0964112602017186,0.0964112602017186
"61",1045,"Mc-28MJn3ZfvaX1A3NaKwA","George",4.19,207,17,"2011-06-15 03:04:28",17,109,78,275,1,1,3,0.0259169591383994,0.0259169591383994
"62",1084,"PPCxfphI50z3tpB2RYQS_g","Tiffany",2.7,10,2,"2013-10-18 15:26:17",2,0,0,7,0,0,0,0.00130043310805721,0.00130043310805721
"63",1091,"8SSaCgmvsztEOg2CqeXxnw","Aaron",3.21,509,19,"2009-08-31 05:25:12",19,111,144,515,15,15,13,0.0568588528583938,0.0568588528583938
"64",1104,"VIY33X6fI25bXlEiaPT-Ww","Amy",4.25,16,1,"2016-01-28 23:35:53",1,2,0,2,0,0,0,0.00161688122985951,0.00161688122985951
"65",1124,"3cBVCNsm273EJ_GM4FVvJg","Humberto",3.89,74,2,"2011-03-24 22:17:37",2,45,25,77,1,1,2,0.00819968478035464,0.00819968478035464
"66",1131,"FOBRPlBHa3WPHFB5qYDlVg","Michelle",3.83,558,25,"2008-04-28 01:29:25",25,396,313,780,63,63,37,0.0700176227609155,0.0700176227609155
"67",1135,"6urS-vMeMNMw1ogB577H7w","Crystal",3.52,67,48,"2013-09-21 19:48:38",48,487,280,655,122,122,95,0.0316203889737498,0.0316203889737498
"68",1139,"zr2ARlz9CnCi3NKKjs12Jw","Richard",4.35,55,5,"2014-02-02 18:24:59",5,26,21,48,5,5,4,0.00701262393773559,0.00701262393773559
"69",1165,"DyJINQyISKlaQziqsSznxw","Tim",2.9,210,5,"2009-02-24 03:50:22",5,86,223,354,2,2,9,0.0273533578451886,0.0273533578451886
"70",1174,"kOvtM-OpoF4-fVopo6m5Lw","Anthony",4.6,5,0,"2015-12-20 20:30:29",0,0,0,2,0,0,0,0.000372536180240677,0.000372536180240677
"71",1186,"g2prozZ3UHPGZ18MYFF1Fg","Brittany",4.31,35,1,"2016-06-09 22:52:06",1,3,4,24,0,0,0,0.00352319117394553,0.00352319117394553
"72",1204,"oWd7wL340Z9JiGf5Wu_bSQ","Matthew",3.82,672,56,"2007-04-08 04:08:02",56,1615,1114,2984,219,219,184,0.123515174745849,0.123515174745849
"73",1205,"06gL9VaAyAl6WoYVu_nPuA","Alie",3.7,683,49,"2009-01-22 19:52:15",49,815,766,1550,42,42,32,0.10126323829478,0.10126323829478
"74",1213,"KNRwbAKYzHXjaWGQJc_pTg","Jimmy",3.8,202,11,"2015-08-06 17:01:46",11,189,374,284,6,6,4,0.0318962615617277,0.0318962615617277
"75",1231,"2pN7H-6Sa38MGVRoDPAlyQ","Chad",2.98,72,0,"2015-08-10 23:35:24",0,14,25,55,0,0,3,0.00739716168932614,0.00739716168932614
"76",1245,"YAUMYdqhuLuHfQ7Y7qzkMw","Steven",3.66,865,33,"2008-09-27 16:07:29",33,1046,554,1202,28,28,43,0.108842831500501,0.108842831500501
"77",1261,"UbJISM1q52jDgM7ht1KNUg","Jennifer",3.04,24,0,"2009-06-24 04:25:45",0,13,9,54,2,2,1,0.00258292619352889,0.00258292619352889
"78",1291,"LPMbxXqyQblDiNRoxRCRbA","BrittanyAnn",3,12,0,"2015-07-12 04:09:21",0,1,1,5,0,0,0,0.0010515227084221,0.0010515227084221
"79",1293,"pZ6P_1V-bTSoYG1fg1TXzw","Angel",3.95,279,30,"2010-12-02 06:38:36",30,396,318,798,52,52,19,0.0451479582112862,0.0451479582112862
"80",1374,"UYcmGbelzRa0Q6JqzLoguw","Emily",3.7,1664,219,"2010-10-18 17:09:38",219,8840,5167,10550,1305,1305,1016,0.435123069748013,0.435123069748013
"81",1391,"IrrulcUUCHg3deMsrdF_xg","Jeanie",3.98,47,0,"2014-12-28 22:39:44",0,7,3,16,1,1,0,0.00438318619242091,0.00438318619242091
"82",1410,"nAauCFtBs7Db2O2dlOVI3A","Kate",4.1,20,0,"2011-11-21 20:18:21",0,5,8,24,0,0,0,0.0020252054611389,0.0020252054611389
"83",1421,"p2Yaw0yMVvT9lMd7yshWUA","William",2.97,31,0,"2012-03-20 19:02:39",0,2,3,10,0,0,0,0.00286239218152825,0.00286239218152825
"84",1480,"JnPIjvC0cmooNDfsa9BmXg","Kat",3.77,993,418,"2009-02-09 16:14:29",418,4057,4751,7245,1566,1566,4507,0.458450965191641,0.458450965191641
"85",1499,"hXOHumtKuh0180dT6VV_oQ","Sue",4.01,122,15,"2011-07-04 19:20:11",15,123,69,287,6,6,10,0.0177493010244348,0.0177493010244348
"86",1502,"SsYDYuT792irBRoGpcOmrA","Shawn",3.83,185,49,"2013-08-27 21:08:28",49,425,193,661,41,41,29,0.0374494231783891,0.0374494231783891
"87",1523,"YwaKGmRNnSa3R3N4Hf9jLw","Paolo",3.97,1019,90,"2008-10-15 21:51:34",90,2824,1911,3718,487,487,371,0.197944586933766,0.197944586933766
"88",1546,"kl_yCsj4ESbUphmpCfVvRA","Tiffany",4.18,262,181,"2015-10-10 17:27:12",181,9775,6313,10422,871,871,770,0.316065444961642,0.316065444961642
"89",1555,"-iGO8sRXF61OgrJ6Zn5WHQ","Swetha",4.13,80,5,"2016-04-08 18:33:07",5,43,6,78,1,1,0,0.00891485068527782,0.00891485068527782
"90",1566,"bWJWcQyDKtFSvsTW2tR3hw","Nicholas",3.67,228,9,"2013-09-26 20:21:14",9,243,226,413,10,10,9,0.0308364154163314,0.0308364154163314
"91",1613,"TibBhm-fbksozIDFD8wjPQ","Wendy",3.96,282,118,"2017-04-15 23:24:08",118,3814,1495,4940,134,134,123,0.121244845678159,0.121244845678159
"92",1625,"qQ0398TobUlb2B4A7req1Q","Clara",3.72,53,2,"2011-04-19 19:18:24",2,93,83,177,14,14,6,0.00847867866702831,0.00847867866702831
"93",1655,"TZlOWTAxjSwVxZSDzJXhdQ","Georgina",4.14,95,1,"2013-08-01 21:32:39",1,36,23,113,6,6,4,0.0100503153026107,0.0100503153026107
"94",1669,"qZB8BZ2ZzMF0VfIGhttu7w","Floyd",3.96,435,59,"2008-07-03 04:26:50",59,1088,622,1917,127,127,134,0.0827533891801159,0.0827533891801159
"95",1673,"WCHArapR0ZhduJElR9axjA","Farin",4.07,145,7,"2011-01-23 18:35:12",7,146,61,260,34,34,20,0.0185766267233837,0.0185766267233837
"96",1740,"PjYaEnWRFB7uogiAeaXQQA","Alice",3.86,358,91,"2007-08-20 09:05:59",91,836,595,1378,247,247,143,0.0824536934134053,0.0824536934134053
"97",1747,"rsujP4-ACzqrn8E8lC7F6w","Taylor",3.64,126,3,"2013-10-15 00:48:54",3,86,60,268,3,3,3,0.0147838913432717,0.0147838913432717
"98",1827,"z8wN6EQuw_JF-zTjcNgsLw","Ashley",4,351,172,"2010-08-19 20:29:40",172,2612,1763,3607,325,325,259,0.145262798805368,0.145262798805368
"99",1835,"KbaXzJp3BieQ2shYn6r3wQ","Missy",3.86,205,11,"2011-04-02 06:01:58",11,177,149,431,22,22,5,0.0272276220940176,0.0272276220940176
"100",1879,"CC8CjFzY8YjqFsFoCmp69A","Blair",3.61,118,5,"2015-03-26 20:58:05",5,24,35,102,4,4,9,0.0133647041881718,0.0133647041881718
"101",1881,"KQm9OgdujLZiMRTksmj83w","Melanie",3.86,303,34,"2009-11-08 00:40:44",34,534,507,951,46,46,26,0.0538896284880447,0.0538896284880447
"102",1887,"T2-SLiLyEwk1psjy4vh47g","Steven",3.44,24,2,"2015-02-18 14:03:37",2,4,6,49,0,0,3,0.00292177296770108,0.00292177296770108
"103",1943,"65Bcz8_Rbbrcz_HGpq9Y-g","Katie",2.97,254,10,"2009-06-14 19:46:47",10,193,172,843,7,7,9,0.0330253444744713,0.0330253444744713
"104",1948,"rpK40ZN2rNFJLhfdlQqS-Q","Amanda",3.78,214,13,"2009-09-09 05:57:23",13,271,212,561,50,50,21,0.0316036105701789,0.0316036105701789
"105",1957,"ACwBMSJzgW6vOvV7vOrk8Q","Matthew",3.54,1692,106,"2010-12-16 19:35:05",106,5538,3091,6002,238,238,136,0.298759084477056,0.298759084477056
"106",1969,"HmILc-lgVKZS7mWNdYCSJw","Cheryl",4.37,225,153,"2012-09-14 17:34:45",153,2484,1963,2690,873,873,863,0.154005833611964,0.154005833611964
"107",1990,"eY6TPklHTeOaQt9F8a_SGQ","Tracy",3.39,422,46,"2014-10-17 06:36:42",46,755,316,1348,20,20,17,0.0639178066798115,0.0639178066798115
"108",2002,"1Z-uHCBZiH1Xshqgqyx3_Q","Katie",4.1,28,0,"2012-08-28 01:01:41",0,7,2,13,0,0,0,0.00258709835438214,0.00258709835438214
"109",2015,"96aVROaRy9Mv04usuvlWXQ","Steven",4.2,5,1,"2012-02-26 17:36:40",1,1,3,1,0,0,1,0.000696074993881465,0.000696074993881465
"110",2016,"x8e1Cc1lh835Q1CpHAD0RQ","Evan",4.2,170,11,"2014-05-25 16:03:52",11,84,41,188,5,5,6,0.0200478672665981,0.0200478672665981
"111",2033,"LB5ViGU59ww2XRCx803t0w","Shahin",3.76,296,16,"2011-12-26 14:45:32",16,246,132,613,18,18,23,0.0373035781336735,0.0373035781336735
"112",2040,"No5P-cOQQEf0Atgc9Vi84g","Brianna",3.88,111,3,"2013-11-16 20:12:52",3,78,71,93,1,1,1,0.0131080599550559,0.0131080599550559
"113",2041,"_ir8NHMtV7KPTwmBmlkmQw","Julie",3.7,297,122,"2010-04-01 10:02:42",122,1294,894,1892,135,135,100,0.0913321228747557,0.0913321228747557
"114",2092,"8Df6c44CUAu54kglaJ6D1w","Christina",4.27,15,3,"2011-07-14 01:18:05",3,11,7,17,2,2,0,0.00226418931343074,0.00226418931343074
"115",2104,"iHGsi2zgjGEm2zEQg8w0og","Miss R",3.13,346,6,"2012-06-23 20:28:42",6,241,261,443,2,2,2,0.0416403269757563,0.0416403269757563
"116",2116,"SWxprVt5F6dsCW-7fxXv8w","Robyn",4.04,95,10,"2009-05-13 00:42:03",10,330,238,487,103,103,203,0.0253129492207277,0.0253129492207277
"117",2123,"WsAejVneMXU-_yp_W0b_2A","Donna",4.04,261,9,"2010-11-14 23:05:30",9,136,44,278,2,2,8,0.0284221367615884,0.0284221367615884
"118",2134,"LYBSlu_TNQB3AdRhw0I58Q","Jayme",4.16,85,4,"2011-12-02 06:26:03",4,32,15,84,0,0,3,0.00939077270614392,0.00939077270614392
"119",2135,"YVQFzWm0H72mLUh-8gzd5w","Loren",3.59,487,44,"2012-10-07 04:21:36",44,990,600,1614,296,296,191,0.0867654942342919,0.0867654942342919
"120",2141,"KyMkKb5IohKb0S7v4Jv-oA","Niyen",4.01,150,32,"2010-11-11 09:23:33",32,491,380,714,134,134,53,0.037647418365438,0.037647418365438
"121",2154,"EZEezH2Im29jXd6l0W3PfQ","Tom",2.69,38,1,"2012-07-06 14:12:45",1,13,22,124,1,1,3,0.00462909580217508,0.00462909580217508
"122",2179,"3IBiLPp5TIivhTo1eJbPEQ","Shelby",3.9,179,11,"2011-03-06 23:22:33",11,75,19,122,1,1,0,0.0199208067275407,0.0199208067275407
"123",2191,"KXdWcY53YJdCUgYbBoeX2g","Hayden",4.24,101,5,"2012-05-11 21:07:33",5,104,48,97,8,8,2,0.0123232945282543,0.0123232945282543
"124",2198,"B7mqXzrSFKM_Wff2tbBagw","Mara",4.09,87,6,"2010-08-01 02:33:24",6,68,35,143,6,6,5,0.0109639770375331,0.0109639770375331
"125",2201,"CxDOIDnH8gp9KXzpBHJYXw","Jennifer",3.32,6314,715,"2009-11-09 20:44:45",715,12995,8823,20336,1606,1606,3629,1.16485471644334,1.16485471644334
"126",2209,"D3fOi-5w4intrUTWXzIQew","Moses",3.9,517,25,"2013-03-22 03:08:27",25,362,276,795,17,17,52,0.0646836749611528,0.0646836749611528
"127",2210,"CzPjZTdiRsNHew882g4eAw","Jennifer",4.01,122,5,"2011-03-18 06:16:31",5,41,21,112,3,3,3,0.0133273304085903,0.0133273304085903
"128",2260,"ba17B05sCmjsn0k-iiem-Q","Alison",3.25,45,0,"2015-12-04 20:06:10",0,12,18,44,0,0,1,0.00466736314471512,0.00466736314471512
"129",2268,"CaaGjAM1yL_t4yhNLD3f_g","Adele",3.32,389,32,"2012-04-03 22:58:42",32,271,312,838,33,33,134,0.0571840976166099,0.0571840976166099
"130",2285,"_91FxFZYTaUGVIEnQhB5cw","Alex",3.2,86,7,"2012-06-28 21:53:58",7,35,34,97,6,6,2,0.0107790790864758,0.0107790790864758
"131",2293,"jsEzCXrpP4jiHVLiAmCwdA","Janice",3.63,86,13,"2014-01-06 04:49:05",13,147,69,211,47,47,63,0.0157103429853373,0.0157103429853373
"132",2294,"TszSb9N49c8JPRevXG2GeQ","Johnny",2.83,35,0,"2013-03-08 01:12:55",0,15,25,66,0,0,3,0.00403354315973489,0.00403354315973489
"133",2314,"PGoFUoOIjBuubbcw79pBMA","Melissa",3.45,94,19,"2014-10-10 02:41:02",19,72,39,214,7,7,15,0.0150910720113181,0.0150910720113181
"134",2376,"cFGAElozHTdQDfHimOiSBQ","Alexa",3.29,164,25,"2008-09-05 07:13:34",25,394,318,715,22,22,4,0.0323533965391861,0.0323533965391861
"135",2420,"bs4wtaUu3HDRhNQumKYFIw","Samantha",3.87,38,3,"2014-07-25 04:41:14",3,14,17,37,2,2,1,0.00470911867020111,0.00470911867020111
"136",2438,"aCiaqNVF96Lvw5bDEGbCHg","Tim",3.86,114,13,"2007-10-11 16:00:42",13,164,62,267,20,20,6,0.0166557672928368,0.0166557672928368
"137",2442,"QfRT_kE-eYlzbxCO81xctQ","Annie",3.55,338,17,"2012-03-26 15:44:53",17,144,128,435,59,59,44,0.0416622968870825,0.0416622968870825
"138",2449,"PSkAxz3AEqL9bTQRprPeAw","Christy",4.07,96,8,"2012-04-01 04:13:06",8,40,105,124,1,1,3,0.0137127966383172,0.0137127966383172
"139",2461,"8DBH3BpLINfTAK_Up5BtUQ","Rachel",3.88,504,78,"2012-11-16 00:49:22",78,3563,2893,4519,706,706,1066,0.19525088576729,0.19525088576729
"140",2493,"WJKocp9RE0KatUwh3_DkGg","Anthony",3.86,254,102,"2010-02-14 05:08:22",102,1282,1212,1957,231,231,271,0.0961630256381066,0.0961630256381066
"141",2504,"igll2PdsMvQHzJhzttrx1A","Jessica",4.08,713,92,"2010-05-20 00:32:30",92,1141,741,2089,322,322,285,0.126134571554427,0.126134571554427
"142",2506,"dt9IHwfuZs9D9LOH7gjNew","P",4.05,1216,85,"2008-10-20 01:15:49",85,2190,3417,3316,272,272,333,0.244428661051943,0.244428661051943
"143",2509,"1CqkFliipv_X15WYn5aPfg","Tiffanie",3.09,68,0,"2010-01-14 01:55:35",0,15,37,84,0,0,1,0.00737049393790287,0.00737049393790287
"144",2517,"w0B7U_-vU2y7O2rpzR2nbA","Victor",3.87,62,8,"2011-04-01 05:34:48",8,29,21,75,2,2,1,0.00830378983918348,0.00830378983918348
"145",2536,"8UZe2wfGVIuRE5B_8-CBQQ","Patrick",3.89,36,0,"2010-05-15 02:47:33",0,11,9,36,1,1,0,0.00359043951706117,0.00359043951706117
"146",2559,"IgiH7ey9WsHd81GTbbRc1g","Kaylin",2.82,11,0,"2014-06-20 17:02:44",0,0,1,4,0,0,0,0.000953641854313323,0.000953641854313323
"147",2564,"43rpaoRriVutxQbkSxe6pA","Terence",4.28,114,11,"2006-06-29 19:21:18",11,85,44,245,0,0,6,0.0150433538626713,0.0150433538626713
"148",2571,"Kvc0VG5YuwrD33sfPE7yeQ","Brittany",3.77,13,1,"2014-04-16 12:02:24",1,0,3,14,0,0,0,0.00144171385151881,0.00144171385151881
"149",2573,"A0j21z2Q1HGic7jW6e9h7A","Georgie",3.68,1276,499,"2010-07-02 16:21:38",499,19783,15335,22434,4678,4678,4183,0.913962211290152,0.913962211290152
"150",2576,"JOpWgW2Xn60P12_Pegu_sg","Diana",3.31,60,2,"2012-03-03 18:56:05",2,14,4,41,0,0,2,0.00616906135275801,0.00616906135275801
"151",2579,"rCWrxuRC8_pfagpchtHp6A","Darren",3.96,1449,250,"2009-02-06 06:45:55",250,14714,13033,17459,1408,1408,2123,0.681637112467608,0.681637112467608
"152",2589,"_7EDJnn1072xuMjgmp-J3w","Sara",4.38,16,0,"2016-03-31 03:14:25",0,1,0,8,0,0,0,0.00140175748495115,0.00140175748495115
"153",2596,"US4cngzcLZBPSgHVn9gq0A","Danyell",3.86,139,17,"2011-08-06 16:56:16",17,118,88,343,13,13,9,0.0204853156227779,0.0204853156227779
"154",2654,"ZngF2uBYrqyFjXd6LvuluQ","Dono",3.74,173,16,"2014-06-17 18:01:01",16,661,589,935,38,38,33,0.0402836248737904,0.0402836248737904
"155",2659,"qmSSQNWodZTVCFAk6mjYqA","Lin",4.06,555,47,"2011-04-02 07:55:28",47,1118,966,1549,219,219,169,0.101193067372759,0.101193067372759
"156",2689,"-1XJd9aCxVk903rNDExioA","Todd",4.25,11,0,"2016-03-26 04:58:26",0,1,1,4,0,0,0,0.000957050830110444,0.000957050830110444
"157",2708,"xVdchFi3vgmPYxkiXYHmZw","Leonor",4.06,177,29,"2012-05-28 22:05:59",29,378,297,552,101,101,100,0.0368702608651186,0.0368702608651186
